image_id,discard_reason,technical_warning_name
954.png,demasiados componentes/células segmentadas,warning_too_many_components
955.png,demasiados componentes/células segmentadas,warning_too_many_components
958.png,demasiados componentes/células segmentadas,warning_too_many_components
959.png,demasiados componentes/células segmentadas,warning_too_many_components
969.png,demasiados componentes/células segmentadas,warning_too_many_components
970.png,demasiados componentes/células segmentadas,warning_too_many_components
973.png,demasiados componentes/células segmentadas,warning_too_many_components
974.png,demasiados componentes/células segmentadas,warning_too_many_components
975.png,demasiados componentes/células segmentadas,warning_too_many_components
976.png,demasiados componentes/células segmentadas,warning_too_many_components
982.png,demasiados componentes/células segmentadas,warning_too_many_components
983.png,demasiados componentes/células segmentadas,warning_too_many_components
984.png,demasiados componentes/células segmentadas,warning_too_many_components
985.png,demasiados componentes/células segmentadas,warning_too_many_components
988.png,demasiados componentes/células segmentadas,warning_too_many_components
989.png,demasiados componentes/células segmentadas,warning_too_many_components
992.png,demasiados componentes/células segmentadas,warning_too_many_components
994.png,demasiados componentes/células segmentadas,warning_too_many_components
999.png,demasiados componentes/células segmentadas,warning_too_many_components
1000.png,demasiados componentes/células segmentadas,warning_too_many_components
1002.png,demasiados componentes/células segmentadas,warning_too_many_components
1003.png,demasiados componentes/células segmentadas,warning_too_many_components
1004.png,demasiados componentes/células segmentadas,warning_too_many_components
1005.png,demasiados componentes/células segmentadas,warning_too_many_components
1006.png,demasiados componentes/células segmentadas,warning_too_many_components
1007.png,demasiados componentes/células segmentadas,warning_too_many_components
1008.png,demasiados componentes/células segmentadas,warning_too_many_components
1010.png,demasiados componentes/células segmentadas,warning_too_many_components
1011.png,demasiados componentes/células segmentadas,warning_too_many_components
1012.png,demasiados componentes/células segmentadas,warning_too_many_components
1013.png,demasiados componentes/células segmentadas,warning_too_many_components
1014.png,demasiados componentes/células segmentadas,warning_too_many_components
1015.png,demasiados componentes/células segmentadas,warning_too_many_components
1016.png,demasiados componentes/células segmentadas,warning_too_many_components
1018.png,demasiados componentes/células segmentadas,warning_too_many_components
1019.png,demasiados componentes/células segmentadas,warning_too_many_components
1020.png,demasiados componentes/células segmentadas,warning_too_many_components
1021.png,demasiados componentes/células segmentadas,warning_too_many_components
1024.png,demasiados componentes/células segmentadas,warning_too_many_components
1026.png,demasiados componentes/células segmentadas,warning_too_many_components
1028.png,demasiados componentes/células segmentadas,warning_too_many_components
1029.png,demasiados componentes/células segmentadas,warning_too_many_components
1030.png,demasiados componentes/células segmentadas,warning_too_many_components
1031.png,demasiados componentes/células segmentadas,warning_too_many_components
1032.png,demasiados componentes/células segmentadas,warning_too_many_components
1033.png,demasiados componentes/células segmentadas,warning_too_many_components
1034.png,demasiados componentes/células segmentadas,warning_too_many_components
1035.png,demasiados componentes/células segmentadas,warning_too_many_components
1036.png,demasiados componentes/células segmentadas,warning_too_many_components
1037.png,demasiados componentes/células segmentadas,warning_too_many_components
1038.png,demasiados componentes/células segmentadas,warning_too_many_components
1041.png,demasiados componentes/células segmentadas,warning_too_many_components
1043.png,demasiados componentes/células segmentadas,warning_too_many_components
1045.png,demasiados componentes/células segmentadas,warning_too_many_components
1047.png,demasiados componentes/células segmentadas,warning_too_many_components
1048.png,demasiados componentes/células segmentadas,warning_too_many_components
1049.png,demasiados componentes/células segmentadas,warning_too_many_components
1050.png,demasiados componentes/células segmentadas,warning_too_many_components
1051.png,demasiados componentes/células segmentadas,warning_too_many_components
1052.png,demasiados componentes/células segmentadas,warning_too_many_components
1053.png,demasiados componentes/células segmentadas,warning_too_many_components
1055.png,demasiados componentes/células segmentadas,warning_too_many_components
1056.png,demasiados componentes/células segmentadas,warning_too_many_components
1057.png,demasiados componentes/células segmentadas,warning_too_many_components
1058.png,demasiados componentes/células segmentadas,warning_too_many_components
1059.png,demasiados componentes/células segmentadas,warning_too_many_components
1060.png,demasiados componentes/células segmentadas,warning_too_many_components
1061.png,demasiados componentes/células segmentadas,warning_too_many_components
1062.png,demasiados componentes/células segmentadas,warning_too_many_components
1065.png,demasiados componentes/células segmentadas,warning_too_many_components
1067.png,demasiados componentes/células segmentadas,warning_too_many_components
1068.png,demasiados componentes/células segmentadas,warning_too_many_components
1069.png,demasiados componentes/células segmentadas,warning_too_many_components
1070.png,demasiados componentes/células segmentadas,warning_too_many_components
1071.png,demasiados componentes/células segmentadas,warning_too_many_components
1072.png,demasiados componentes/células segmentadas,warning_too_many_components
1073.png,demasiados componentes/células segmentadas,warning_too_many_components
1074.png,demasiados componentes/células segmentadas,warning_too_many_components
1075.png,demasiados componentes/células segmentadas,warning_too_many_components
1078.png,demasiados componentes/células segmentadas,warning_too_many_components
1086.png,demasiados componentes/células segmentadas,warning_too_many_components
1106.png,demasiados componentes/células segmentadas,warning_too_many_components
1111.png,demasiados componentes/células segmentadas,warning_too_many_components
1118.png,demasiados componentes/células segmentadas,warning_too_many_components
1121.png,demasiados componentes/células segmentadas,warning_too_many_components
1126.png,demasiados componentes/células segmentadas,warning_too_many_components
1127.png,demasiados componentes/células segmentadas,warning_too_many_components
1129.png,demasiados componentes/células segmentadas,warning_too_many_components
1133.png,demasiados componentes/células segmentadas,warning_too_many_components
1134.png,demasiados componentes/células segmentadas,warning_too_many_components
1136.png,demasiados componentes/células segmentadas,warning_too_many_components
1138.png,demasiados componentes/células segmentadas,warning_too_many_components
1139.png,demasiados componentes/células segmentadas,warning_too_many_components
1145.png,demasiados componentes/células segmentadas,warning_too_many_components
1146.png,demasiados componentes/células segmentadas,warning_too_many_components
1147.png,demasiados componentes/células segmentadas,warning_too_many_components
1151.png,demasiados componentes/células segmentadas,warning_too_many_components
1152.png,demasiados componentes/células segmentadas,warning_too_many_components
1153.png,demasiados componentes/células segmentadas,warning_too_many_components
1155.png,demasiados componentes/células segmentadas,warning_too_many_components
1156.png,demasiados componentes/células segmentadas,warning_too_many_components
1160.png,demasiados componentes/células segmentadas,warning_too_many_components
